Course,Course_code,Unit_code,Unit,Overview,Outcomes,Prerequisite,Prohibition,Corequisite
Bachelor of Applied Data Science,S2010,ADS1001,ADS1001 - Data challenges 1,"This is the first in a series of data challenges units which collectively develop a broad range of knowledge and transferable skills through studio-based learning, applied problem-solving and the exploration of a broad diversity of cross-disciplinary and industry-relevant data science case studies over the course. In recent years the world … For more content click the Read more button below.","Identify the principles of scientific thinking and apply them in the context of data science;| Reflect upon how to create and deliver results in interdisciplinary teams;| Critique the ethical and multicultural dimensions associated with data science decisions, use and quality and their possible impacts on organisations and society;| Communicate outcomes effectively in a range of formats including orally, visually and in written form;| Identify the various steps to perform data analysis and visualisation;| Explore the importance of data in a variety of fields including science, IT and business.",,,
Bachelor of Applied Data Science,S2010,ADS1002,ADS1002 - Data challenges 2,This is the second in a series of data challenges units which builds on industry-relevant data science case studies explored during the first semester of the course. Team-based learning is used to further develop and apply the suite of analytical skills required to discover the underlying answers to questions raised … For more content click the Read more button below.,Apply scientific thinking to data-oriented projects and tasks;| Demonstrate the ability to work in a team to achieve a goal;| Analyse the ethical issues associated with data science decisions| Demonstrate a variety of approaches used to communicate complex ideas to potential stakeholders through a variety of techniques including role-play| Perform a range tasks to analyse and visualise data| Design approaches for collecting and analysing data for a range of industry problems,ADS1001,,
Bachelor of Applied Data Science,S2010,ADS2001 ,ADS2001  - Data challenges 3,This is the third in a series of Data Challenges units which builds on industry-relevant data science case studies explored during the first two semesters of the course. Team-based learning is used to further develop and apply the suite of analytical skills required to discover the underlying answers to questions … For more content click the Read more button below.,Apply scientific thinking to data-oriented projects and tasks;| Demonstrate the ability to work in a team to achieve a goal;| Analyse the ethical issues associated with data science decisions;| Demonstrate a variety of approaches used to communicate complex ideas to potential stakeholders through a variety of techniques including role-play;| Perform a range tasks to analyse and visualise data;| Design approaches for collecting and analysing data for a range of industry problems.,ADS1002,,
Bachelor of Applied Data Science,S2010,ADS2002 ,ADS2002  - Data challenges 4,This is the fourth in a series of Data Challenges units which builds on industry-relevant data science case studies explored during the first three semesters of the course. Team-based learning is used to further develop and apply the suite of analytical skills required to discover the underlying answers to questions … For more content click the Read more button below.,Apply scientific thinking to data-oriented projects and tasks;| Demonstrate the ability to work in a team to achieve a goal;| Analyse the ethical issues associated with data science decisions;| Demonstrate a variety of approaches used to communicate complex ideas to potential stakeholders through a variety of techniques including role-play;| Perform a range tasks to analyse and visualise data;| Design approaches for collecting and analysing data for a range of industry problems.,ADS2001 ,,
Bachelor of Applied Data Science,S2010,ADS3001,ADS3001 - Advanced data challenges,"This is the final in a series of Data Challenges units which draws together your mathematical, computational and applied studies, and builds on the industry-relevant data science case studies explored during the first two years of the Bachelor of Applied Data Science. You will apply this knowledge working in industry … For more content click the Read more button below.
You will further develop and apply your analytic and technical skills to interrogate and understand large and complex real-world data sets drawn from academic, governmental and business problems. You will continue to develop your communication skills through a combination of written, oral and multimedia presentations, which communicate your analysis and conclusions to a range of potential stakeholders. Finally, you will work in teams to enhance your project management, collaborative and leadership skills.
The placements will embed you in data science teams in a range of government, industry and academic settings. These placements will be complemented by weekly seminars to provide insight into real problems faced by experts in the field.","Critically analyse data-oriented projects to break these down into achievable tasks;| Demonstrate the ability to work in a team to plan and complete a complex data-orientated project;| Analyse the ethical issues associated with data science decisions that arise;| Clearly communicate complex ideas to potential stakeholders using a variety of approaches;| Effectively manipulate, analyse and visualise data;| Implement a range of advanced machine learning algorithms;| Undertake independent research on data science techniques and relevant domain knowledge.",ADS2002 ,,
Bachelor of Applied Data Science,S2010,FIT1008,FIT1008 - Introduction to computer science,"This unit introduces students to core problem-solving, analytical skills, and methodologies useful for developing flexible, robust, and maintainable software. In doing this it covers a range of conceptual levels, from high-level algorithms and data-structures, down to the machine models and simple assembly language programming. Topics include data types; data structures; … For more content click the Read more button below.","Translate problem statements into algorithms and implement them in a high level programming language;| Determine appropriate basic abstract data types, including; stacks, queues, lists, binary trees, priority queues, heaps and hash tables; for specific contexts;| Theoretically and experimentally evaluate different implementations of basic abstract data types;| Analyse the efficiency of algorithms by determining their best-case and worst-case big-O time complexity;| Deconstruct simple high-level code into assembly code, specifically MIPS R2000;| Work in teams to analyse algorithms and write programs.","FIT1053, FIT1045","FIT2085, FIT1054",
Bachelor of Applied Data Science,S2010,FIT1045,FIT1045 - Algorithms and programming fundamentals in python,"This unit introduces programming fundamentals and the Python language to students. The unit provides a foundational understanding of program design and implementation of algorithms to solve simple problems. Fundamental programming control structures, built in and complex datatypes and mechanisms for modularity will be presented in Python.
Topics covered will include … For more content click the Read more button below.","Effectively use variables, conditionals and loops in computer programs;| Design, construct and test simple programs that include user-defined functions and data structures;| Write programs efficiently by discovering and leveraging libraries;| Implement good programming practices in a team, including unit testing, basic documentation and readability.",,,
Bachelor of Applied Data Science,S2010,MAT1830,MAT1830 - Discrete mathematics for computer science,"This unit introduces fundamental discrete mathematics topics including combinatorics, sets, relations and functions; methods of logic and proof, especially proof by induction; probability theory, Bayes' theorem; recursion; recurrence relations; trees and other graphs. It establishes the mathematical basis required for studies in Computer Science and Software Engineering.","Identify basic methods of proof, particularly induction, and apply them to solve problems in mathematics and computer science;| Manipulate sets, relations, functions and their associated concepts, and apply these to solve problems in mathematics and computer science;| Use and analyse simple first and second order recurrence relations;| Use trees and graphs to solve problems in computer science;| Apply counting principles in combinatorics;| Describe the principles of elementary probability theory, evaluate conditional probabilities and use Bayes' Theorem.",,ITI9004,
Bachelor of Applied Data Science,S2010,FIT2086,FIT2086 - Modelling for data analysis,"This unit explores the statistical modelling foundations that underlie the analytic aspects of Data Science. It covers:

Data: collection and sampling, data quality.
Analytic tasks: statistical hypothesis testing, exploratory and confirmatory analysis.
Probability distributions: dependence and independence, multivariate Gaussian, Poisson, Dirichlet, random number generation and simulation of distributions, simulation of … For more content click the Read more button below.
Predictive models: linear and logistic regression, and Bayesian classification.
Estimation: parameter and function estimation, maximum likelihood and minimum cost estimators, Monte Carlo estimators, inverse probabilities and Bayes theorem, bias versus variance and sample size effects, cross validation, estimation of model performance.
","Perform exploratory data analysis with descriptive statistics on given datasets;| Construct models for inferential statistical analysis;| Produce models for predictive statistical analysis;| Perform fundamental random sampling, simulation and hypothesis testing for required scenarios;| Implement a model for data analysis through programming and scripting;| Interpret results for a variety of models.",,,
Bachelor of Applied Data Science,S2010,FIT3154,FIT3154 - Advanced data analysis,This unit introduces the problem of machine learning and the major kinds of statistical learning used in data analysis. Learning and the different kinds of learning will be covered and their usage discussed. Evaluation techniques and typical application contexts will presented. A series of different models and algorithms will be … For more content click the Read more button below.,Describe what machine learning is;| Differentiate kinds of statistical learning models and algorithms;| Evaluate a machine learning algorithm in typical contexts;| Describe and apply the major models and algorithms for statistical learning;| Identify the most competitive algorithms for typical contexts;| Compare and contrast the differences between big data applications and regular applications of algorithms;| Describe the theoretical limits of learning.,FIT2086,,
