Course,Course_code,Unit_code,Unit,Overview,Outcomes,Prohibition,Prerequisite,Corequisite
Master of Business Analytics,B6022,ETC5242,ETC5242 - Statistical thinking,"This unit focuses on the tools for a large, digital data world, including the building blocks for business analytics, modern insurance and risk assessment. A computational approach is employed to teach the concepts of statistics, and decision making in the presence of uncertainty. Topics covered will include exploratory data analysis, … For more content click the Read more button below.","characterise the variability in data| build statistical models to support decision-making and risk assessment| use randomisation methods to assess uncertainty in relation to parameter estimates, hypothesis testing, predictions and model assessments| explain the basic concepts of Bayesian analysis and credibility theory, and be able to implement them in conjugate settings| explain the differences between the frequentist and Bayesian frameworks| develop computing and communication skills, using reproducible reporting.",ETC2420,,
Master of Business Analytics,B6022,ETC5250,ETC5250 - Introduction to machine learning,"Business analytics involves uncovering the hidden information in masses of business data using statistical graphics, models and algorithms. The most widely used prediction and classification models will be covered. Practical skills in applying techniques to different problems will be developed using a suitable software environment that involves doing reproducible analyses. … For more content click the Read more button below.","select and develop appropriate models for clustering, prediction or classification| estimate and simulate from a variety of statistical models| measure the uncertainty of a prediction or classification using resampling methods| apply business analytic tools to produce innovative solutions in finance, marketing, economics and related areas| manage very large data sets in a modern software environment| explain and interpret the analyses undertaken clearly and effectively.",ETC3250,"ETC2420, ETC5242",
Master of Business Analytics,B6022,ETC5510,ETC5510 - Introduction to data analysis,"Business analytics involves sourcing or collecting appropriate data, reading the data into suitable software, tidying and wrangling the data into shape for analysis, building models and making useful visualisations to achieve effective data-driven decision-making. This unit will introduce you to each of these aspects of business analytics, and build your … For more content click the Read more button below.","learn to read different data formats, learn about tidy data and wrangling techniques| apply effective visualisation and modelling to understand relationships between variables, and make decisions with data| develop oral and written communication skills in data reporting.","ETC1010, ETX2250, FIT5145",,
Master of Business Analytics,B6022,ETC5550,ETC5550 - Applied forecasting,"Reliable forecasts of business and economic variables must often be obtained against a backdrop of structural change in markets and the economy. This unit introduces methods suitable for forecasting in these circumstances including the decomposition of time series, exponential smoothing methods, ARIMA modelling, and regression with autocorrelated disturbances. You can … For more content click the Read more button below.",provide an understanding of common statistical methods used in business and economic forecasting| develop computer skills for forecasting business and economics time series data| provide insights into the problems of implementing and operating large scale forecasting systems.,"ETC3550, ETF3231, ETF5231, ETW3420","ETC2410, ETC3440, ETF5910, ETC5242, ETF5912, ETF2100, FIT5197, ETC2420, ETF2121",
Master of Business Analytics,B6022,ETC5512,ETC5512 - Wild-caught data,"Data can be obtained from many sources. It may be generated via experiments, collected from observational studies or surveys, obtained via sampling, or recorded using sensors. Each type of data has its own characteristics that affect the analysis tools we use. Very large data sets come with their own challenges … For more content click the Read more button below.","understand the characteristics of various types of data sources including experiments, observational studies, surveys, sampling and sensors| utilise open data sources and access its various formats| manage large data files using a standard database language.",,,
Master of Business Analytics,B6022,ETC5513,ETC5513 - Collaborative and reproducible practices,"This unit develops teamwork skills, through instruction on reproducibility and version control to conduct collaborative data analysis. These skills are practised in a team setting with a data analysis project.",develop skills to create reproducible data analyses| understand the operation of a version control systems| utilise version control to integrate data analysis efforts of team members| effectively work with a group to construct a collaborative data story.,,,
Master of Business Analytics,B6022,ETC5521 ,ETC5521 - Exploratory data analysis,"Before modelling and predicting, data should first be explored to uncover the patterns and structures that exist. Exploratory data analysis involves both numerical and visual techniques designed to reveal interesting information that may be hidden in the data. However, an analyst must be cautious not to over-interpret apparent patterns, and … For more content click the Read more button below.","learn to use modern data exploration tools with real data to uncover interesting structure and unusual observations| understand how to map out appropriate analyses, and to define what we would expect to see in the data| be able to compute null samples in order to test apparent patterns, and to interpret the results of visual inference| critically assess the strength and adequacy of a data analysis.",,ETC5510,
Master of Business Analytics,B6022,ETC5523,ETC5523 - Communicating with data,"This course teaches communication skills related to data analysis. You'll learn to build a website, a web app, reports and presentations as part of a data analysis workflow.","effectively communicate data analysis, using a blog, reports and presentation| learn how to build a web app to provide an interactive data analysis| learn to construct a data story.",,ETC5513,
Master of Business Analytics,B6022,ETC5543,ETC5543 - Business analytics creative activity,This course involves successful completion of an internship or conduct an original research project.,"obtain experience working in a job or conducting research| apply analytics learning in a practical or research setting| effectively communicate analytics use in the work environment, or in the process of research.",,ETC5523,
Master of Business Analytics,B6022,ETC5580,ETC5580 - Advanced statistical modelling,This unit introduces extensions of linear regression models for handling a wide variety of data analysis problems. Three extensions will be considered: generalised linear models for handling counts and binary data; mixed-effect models for handling data with a grouped or hierarchical structure; and non-parametric regression for handling non-linear relationships. All … For more content click the Read more button below.,"provide an understanding of statistical models for handling common data analysis problems| develop skills for fitting, interpreting and assessing statistical models| develop computer skills for exploring and modelling different kinds of data.",ETC3580,ETC5242,
Master of Business Analytics,B6022,ETF5500,ETF5500 - High dimensional data analysis,"In many fields of business, analysts must deal with data on many variables, for example, surveys with a large number of questions. In such cases, statistical tools known as multivariate methods must be used to analyse the data and drive business decisions.

This unit covers such methods in three sections: … For more content click the Read more button below.
","demonstrate an understanding of the role that multivariate statistical techniques such as factor analysis, structural equation modelling, logistic regression, categorical data analysis, cluster analysis, multidimensional scaling and correspondence analysis play in uncovering relationships and patterns in survey data| appraise the strengths and limitations of these techniques| apply tools in R to generate solutions for the appropriate statistical techniques| demonstrate skills in using the appropriate statistical techniques from a user and provider perspective| demonstrate skills in communicating the results of the analysis so that decision making can be implemented.",ETF3500,"ETC1010, ETC5242, ETF5231, FIT5197, ETC5510, ETF5922, ETC2420, ETC5550, ETW2001, ETC3550, ETF3231, ETX2250",
Master of Business Analytics,B6022,ETC5410,ETC5410 - Bayesian inference and data analysis,"This unit introduces you to both foundational and methodological aspects of Bayesian econometrics. Topics covered include a review of the philosophical and probabilistic foundations of Bayesian inference; the contrast between the Bayesian and frequentist (or classical) statistical paradigms; the use of prior information via the specification of subjective, Jeffreys and … For more content click the Read more button below.","appreciate the importance of Bayesian statistical techniques in econometric research and understand the differences between the Bayesian and frequentist statistical paradigms| acquire the skills necessary to derive Bayesian results analytically, in simple models| demonstrate an understanding of simulation methods and be able to implement these methods in empirically realistic econometric models| understand the Kalman filter and its role in Bayesian inference in state space models.",ETC4541,"ETC3400, ETC5340",
Master of Business Analytics,B6022,FIT5147,FIT5147 - Data exploration and visualisation,"This unit introduces statistical and visualisation techniques for the exploratory analysis of data. It will cover the role of data visualisation in data science and its limitations. Visualisation of qualitative, quantitative, temporal and spatial data will be presented. What makes an effective data visualisation, interactive data visualisation, and creating data … For more content click the Read more button below.","Perform exploratory data analysis using a range of visualisation tools;| Describe the role of data visualisation in data science and its limitations;| Critically evaluate and interpret a data visualisation;| Distinguish standard visualisations for qualitative, quantitative, temporal and spatial data;| Choose an appropriate data visualisation;| implement static and interactive data visualisations using R and other tools.","ITI5147, ETF5922",,
Master of Business Analytics,B6022,FIT5205,FIT5205 - Data in society,"In the digital age, how we communicate, conduct business and socialize is revolutionizing our world. The explosion of data-driven and artificial intelligence technologies are transforming the way we live and work, altering relationships between government and citizens, businesses and consumers, researchers and the researched, public and private sectors, and individuals, … For more content click the Read more button below.
While data driven and algorithmic technologies can potentially help grow the economy, improve health and education, support national security, protect the environment, enable more energy efficiency, drive innovation and progress, and support more resilient, sustainable communities and cultures, there is a growing need to identify and address the risks associated with their design, development and use. In this unit the problems associated with the application of these information technologies in government and big business that leads to greater surveillance of citizens by states and consumers by businesses, disempowerment of individuals and vulnerable communities, increased discrimination, threats to social inclusion, social justice, human and civil rights, self-determination and privacy, and widens the divide between the data haves and have-nots will be explored, alongside the emerging ethical, legislative and strategic frameworks that aim to address these concerns.","Describe and analyse digital media/data ecosystems;| Analyse issues relating to the benefits and risks of big data in society;| Explain key ethical design principles and their relevance to the design and development of data-driven and algorithmic technologies;| Investigate how rights in data, rights to self determination, privacy rights, access rights, discovery rights, IP and copyright apply in different contexts/scenarios;| Develop recommendations for socio-legal and policy frameworks and strategies for transparency, good governance, accountability and ethical practice in data management and use, including data rights management;| Analyse needs and issues relating to the use big data to support resilient, sustainable communities and cultures.",FIT5090,,
Master of Business Analytics,B6022,FIT5212,FIT5212 - Data analysis for semi-structured data,"Semi-structured data is one of the fastest growing kinds of data in both the public and private sector, for instance in health. Email collections with sender-recipient graphs, metadata and text content is one example. This unit will explore basic forms of semi-structured data: text, time-sequence data, graphs and multiple relations … For more content click the Read more button below.
 
 ","Appraise what kinds of semi-structured data exist and the problems they present for analysis;| Analyse different kinds of algorithms for different kinds of semi-structured data;| Develop and modify some standard algorithms for semi-structured data;| Examine some characteristic industry problems involving semi-structured data, and analyse the suitability of different algorithms.",,FIT5197,
Master of Business Analytics,B6022,FIT9132,FIT9132 - Introduction to databases,"This unit will introduce the concept of data management in an organisation through relational database technology. Theoretical foundation of relational model, analysis and design, implementation of relational database using SQL will be covered.","Apply the theories of the relational database model;| Develop a sound relational database design;| Implement a relational database based on a sound database design;| Manage data that meets user requirements, including queries and transactions;| Contrast the differences between non-relational database models and the relational database model.",ITI9132,,
Master of Business Analytics,B6022,FIT9136,FIT9136 - Algorithms and programming foundations in Python,"
This unit introduces the Python programming and the basics of data structure and algorithms including their design, analysis and implementation in Python.
Students will experience working with Python implementation of data structures and algorithms widely used in modern programming language to solve simple problems. Topics covered in this unit are … For more content click the Read more button below.
","Apply best practice Python programming constructs for solving computational problems;| Restructure a computational program into manageable units of modules and classes using the object-oriented methodology;| Demonstrate Input/Output strategies in a Python application and apply appropriate testing and exception handling techniques;| Investigate useful Python packages for scientific computing and data analysis;| Experiment with data manipulation, analysis, and visualisation technique to formulate business insight.","ITO4133, FIT1045, ITO4136, ITI9136, FIT9133",,
Master of Business Analytics,B6022,MAT9004,MAT9004 - Mathematical foundations for data science and AI,"Mathematical topics fundamental to computing and statistics including trees and other graphs, counting in combinatorics, principles of elementary probability theory, linear algebra, and fundamental concepts of calculus in one and several variables.","Use trees and graphs to solve problems in computer science;| Apply counting principles in combinatorics;| Describe the principles of elementary probability theory, evaluate conditional probabilities and use Bayes' Theorem;| Demonstrate basic knowledge and skills of linear algebra, including the manipulation of matrices, solution of linear systems, and evaluate and apply determinants;| Explain fundamental concepts in calculus including basic differentiation and integration, and composite, inverse and parametric functions;| Perform key skills in the calculus of functions of several variables including the calculation of partial derivatives, find tangent planes and identify stationary points, root findings and convexity for optimisation.","ITI9004, MAT1830, MAT1841",,
