Course,Course_code,Unit_code,Unit,Overview,Outcomes,Prohibition,Corequisite,Prerequisite
Master of Health Data Analytics,M6036,EPM5029,EPM5029 - introduction to health data analytics,"This unit provides you with a foundation for the study of Health Data Analytics by introducing key health, statistical and machine learning concepts. The unit commences with a discussion of the scope of health data analytics, to introduce you to the key ethical and privacy issues, provide you with a … For more content click the Read more button below.","Explain the appropriate use of health data analytics in health research.| Describe the importance of ethics and privacy with health data analytics.| Evaluate different health data sources for health data analytics.| Differentiate between descriptive, predictive and explanatory research problems, and statistical compared with machine learning models.| Differentiate between descriptive, predictive and explanatory research problems, and statistical compared with machine learning models.| Describe the steps in data analytics.",,,
Master of Health Data Analytics,M6036,FIT9136,FIT9136 - Algorithms and programming foundations in Python,"
This unit introduces the Python programming and the basics of data structure and algorithms including their design, analysis and implementation in Python.
Students will experience working with Python implementation of data structures and algorithms widely used in modern programming language to solve simple problems. Topics covered in this unit are … For more content click the Read more button below.
","Apply best practice Python programming constructs for solving computational problems;| Restructure a computational program into manageable units of modules and classes using the object-oriented methodology;| Demonstrate Input/Output strategies in a Python application and apply appropriate testing and exception handling techniques;| Investigate useful Python packages for scientific computing and data analysis;| Experiment with data manipulation, analysis, and visualisation technique to formulate business insight.","ITO4133, FIT1045, ITO4136, ITI9136, FIT9133",,
Master of Health Data Analytics,M6036,EPM5026,EPM5026 - Mathematical foundations for biostatistics,"This unit covers the foundational mathematical methods and probability distribution concepts necessary for an in depth understanding of biostatistical methods. The unit commences with an introduction to mathematical expressions, followed by the fundamental calculus techniques of differentiation and integration, and essential elements of matrix algebra. The concepts and rules of … For more content click the Read more button below.","Manipulate general mathematical expressions and inequalities.| Manipulate general mathematical expressions and inequalities.| Manipulate and evaluate matrix expressions and calculate inverses of matrices.| Explain and apply the laws of probability to statistical problems.| Recognise common probability distributions and their properties.| Apply calculus-based tools to derive key features of a probability distribution and properties of random variables, such as mean and variance.| Effectively program numerical simulation of random variables to illustrate and explain statistical concepts.",,,
Master of Health Data Analytics,M6036,ETC5510,ETC5510 - Introduction to data analysis,"Business analytics involves sourcing or collecting appropriate data, reading the data into suitable software, tidying and wrangling the data into shape for analysis, building models and making useful visualisations to achieve effective data-driven decision-making. This unit will introduce you to each of these aspects of business analytics, and build your … For more content click the Read more button below.","learn to read different data formats, learn about tidy data and wrangling techniques| apply effective visualisation and modelling to understand relationships between variables, and make decisions with data| develop oral and written communication skills in data reporting.","ETC1010, ETX2250, FIT5145",,
Master of Health Data Analytics,M6036,/2021/units/MPH5040,MPH5040 - Introductory epidemiology,"This unit is taken concurrently with MPH5041, as together they are prerequisites for clinical epidemiology elective units.
Upon completion of this unit students will be able to measure frequencies of disease i.e. incidence, prevalence, ""population at risk""; and measure associations in epidemiological studies; different study designs i.e. observational studies, experimental … For more content click the Read more button below.","Explain and contextualise the purposes of descriptive and analytical epidemiology;| Explain and contextualise the concepts of study questions, population, sampling, exposure assessment, bias and confounding;| Analyse the strengths and weaknesses of different epidemiological study designs;| Critically analyse epidemiological papers from the medical research and OHS literature;| Evaluate the adequacy of exposure assessment in epidemiological studies;| Interpret and communicate the results of epidemiological studies; and| Solve complex problems relating to the use of epidemiological concepts and study designs.",,MPH5041,
Master of Health Data Analytics,M6036,EPM5003,EPM5003 - Principles of statistical inference,"The unit will introduce the core concepts of statistical inference, beginning with estimators, confidence intervals, type I and II errors and p-values. The emphasis will be on the practical interpretation of these concepts in biostatistical contexts, including an emphasis on the difference between statistical and practical significance. Classical estimation theory, … For more content click the Read more button below.","Have a deeper understanding of fundamental concepts in statistical inference and their practical interpretation and importance in biostatistical contexts.| Understand the theoretical basis for frequentists and Bayesian approaches to statistical inference.| Be able to develop and apply parametric methods of inference, with particular reference to problems of relevance in biostatistical contexts.| Have the theoretical basis to understand the justification for more complex statistical procedures introduced in subsequent units.| Have an understanding of basic alternatives to standard likelihood-based methods, and be able to identify situations in which these methods are useful.",,,
Master of Health Data Analytics,M6036,EPM5027,EPM5027 - Regression modelling for biostatistics 1,This unit lays the foundation of biostatistical modelling to analyse data from randomised or observational studies. These skills are essential for biostatistics in practice and will be used by students for the remainder of their BCA studies. This unit will introduce the motivation for different regression analyses and how to … For more content click the Read more button below.,"Explain the different research aims for which regression modelling can be applied.| Select and apply a suitable regression modelling approach based on the specific research aim.| Analyse data using normal linear models, and be able to assess model fit and diagnostics.| Analyse data using logistic regression models for binary data, and be able to assess model fit and diagnostics.| Accurately interpret and manipulate mathematical equations that relate to regression analysis.| Communicate the outcomes and justification of a regression analysis.",,,
Master of Health Data Analytics,M6036,FIT5196,FIT5196 - Data wrangling,"This unit introduces tools and techniques for data wrangling. It will cover the problems that prevent raw data from being effectively used in analysis and the data cleansing and pre-processing tasks that prepare it for analytics. These include, for example, the handling of bad and missing data, data integration and … For more content click the Read more button below.",Parse data in the required format;| Assess the quality of data for problem identification;| Resolve data quality issues ready for the data analysis process;| Integrate data sources for data enrichment;| Document the wrangling process for professional reporting;| Write program scripts for data wrangling processes.,ITI5196,,"FIT9133, FIT9136"
Master of Health Data Analytics,M6036,MPH5289,MPH5289 - Professional practice development,"This unit will equip students to meet professional workplace expectations in public health.
Building upon developing knowledge and understanding of the practice of public health, it will enhance and develop professional communication, teamwork, project management and leadership skills in public health.
Attention will also be given to professional conduct and … For more content click the Read more button below.","Critically evaluate issues related to professional practice in public health| Implement a teamwork approach to reviewing and presenting a public health problem| Apply project management theories to public health practice| Analyse, summarise and explain issues related to public health to stakeholders| Apply professionalism and teamwork skills in workplace contexts.| Analyse and apply project management principles and processes to a public health project",,,"MPH5041, MPH5040"
Master of Health Data Analytics,M6036,FIT5149,FIT5149 - Applied data analysis,This unit aims to provide students with the necessary analytical and data modeling skills for the roles of a data scientist or business analyst. Students will be introduced to established and contemporary Machine Learning techniques for data analysis and presentation using widely available analysis software. They will look at a … For more content click the Read more button below.,"Analyse data sets with a range of statistical, graphical and machine-learning tools;| Evaluate the limitations, appropriateness and benefits of data analytics methods for given tasks;| Design solutions to real world problems with data analytics techniques;| Assess the results of an analysis;| Communicate the results of an analysis for both specific and broad audiences.",ITI5149,,
