Unit,Unit_code,Overview,Outcomes,Prerequisite,Course,Course_code
Introduction to Data Science,DATA7001,This course introduces the fundamental process of data science and provides the necessary computational and statistical foundations for further courses in the master of data science. Design thinking methodology will be utilised to approach complex data science problems as a design problem. The data science process will be practiced through case studies in a number of data-intensive domains.,Apply design thinking methodology to data science problems| Design effective data science processes from problem formulation to persuasive story telling with data| Develop data-centric approaches to complex business and scientific problems| Reason with the fitness of basic computational and analytical models in data science scenarios| Build a data science solution in a group setting,,Master of Data Science,MDataSc
Responsible Data Science,DATA7002,"Gathering, understanding, interpreting and making decisions based on collected data is an invaluable tool for science, business and governments. Concerns about privacy, consent, confidentiality, discrimination, ownership, commercialisation, intellectual property and the importance of fair benefit sharing are known. Being aware of conflicts of interest and the need to ensure equity, reciprocity and respect for cultural diversity are increasingly seen as important. What is less recognised is the nature of the roles of those who access and make decisions about collected linked personal information. The emerging global banked data that has become a key part of contemporary decision-making raises questions about the role of the data scientist. In this course students will critically analyse the ethical and legal foundations of data science governance that are relevant to the technical processes of data collection, storage, exchange and access. Issues covered will include the ethical dimensions of data management, legal and regulatory frameworks in Australia and in relevant jurisdictions, data policy, data privacy, data ownership, legal liabilities regarding analytical decisions, and discrimination. The course will equip students to identify the ethical and legislative requirements that underpin the technical processes of data science and to apply ethical and legal considerations to the core processes of data analytics. It will also introduce algorithms and technical approaches to minimise the risk of data identifiability and disclosure. A range of case studies will be used to explore these issues in applications of data science, including the use of government administrative data for informing social policy, to integrate ethical, legal and technical considerations.","Identify the key ethical, legal and technical considerations that are intrinsic to integrity in data science practice.| Gain practical skills in predicting, identifying, assessing, evaluating and responding to the ethical conflicts and dilemmas that are likely to occur within data science.     | Explain the different legal and ethics approaches that underpin the application of data science| Apply relevant Australian and international law and ethics theory to contemporary data science problems| Evaluate the effectiveness of different legal and ethics approaches relevant to the application of data science| Ability to identify relevant ethics and legal aspects of data science and apply appropriate techniques and algorithms for data de-identification to ensure privacy and non-disclosure when required.","NA",Master of Data Science,MDataSc
Data Analytics at Scale,DATA7201,"Data Science techniques often need to be applied to large amounts of data to generate insights. To deal with volume, velocity, and variety of data we need to rely on novel computational architectures that focus on scaling-out data processing as compared to the classic scale-up approach. Such systems allow to add computational resources to a distributed system depending on requirements and load which changes over time. In this courseA we will give students knowledge about modern scale-out system architectures to perform data analytics queries over very large structured/unstructured datasets as well as to run data mining algorithms at scale.","Solve challenges and leverage opportunities in dealing with Big Data| Use Big Data infrastructure solutions for Volume, Variety, and Velocity including industry-driven and open-source solutions| Apply data analytics infrastructures to best support data science practices for non-technical stakeholders (e.g., executives)| Compare alternative data analytics infrastructure solutions and select the most appropriate one for a certain use case| Judge in which situations Big Data analytics solutions are more or less appropriate.| Design the most appropriate Big Data infrastructure solution given a use case where to deploy Big Data solutions","DATA7001, INFS7901",Master of Data Science,MDataSc
Statistical Methods for Data Science,DATA7202,"This course will provide students with essential ideas and tools for analysing and interpreting data, including statistical modelling techniques: Linear models, generalised linear models, and regularisation. Students will also be introduced to a range of specific data science tools such as Bayesian techniques and process simulation.",understand and apply linear models and related methods for the analysis and interpretation of data| recognise the advantages and limitations of each method| generate data through simulation| use statistical software appropriately for the analysis and graphical representation of data| make appropriate decisions about analyses to undertake on a given data set| communicate the results of statistical analysis clearly and accurately,"STAT7203, STAT2203, MATH7502",Master of Data Science,MDataSc
Machine Learning for Data Scientists,DATA7703,"Machine learning is a branch of artificial intelligence concerned with the development & application of adaptive algorithms that use example data or previous experience to solve a given problem. Topics include: learning problems (e.g regression, classification, unsupervised) & theory, neural networks, statistical & probabilistic models, clustering, ensembles, implementation issues, applications (e.g. bioinformatics, cognitive science, forecasting, robotics, signal & image processing).","Describe the core theoretical and conceptual frameworks that are used in Machine Learning.| Explain the properties and functions of a range of different Machine Learning models and to be able to connect a model to appropriate theoretical foundations.| Formulate an algorithm that instantiates a given Machine Learning model using appropriate data.| Implement Machine Learning algorithms in a high-level programming language.| Formulate and execute experiments with implemented Machine Learning techniques on data sets, and to evaluate and reflect on the results, both individually and in groups.| Explain the relationships between the different types of techniques used in Machine Learning and the relationships between Machine Learning and other disciplines.| Recognize potential real-world applications of Machine Learning and evaluate the suitability of different Machine Learning technique implementations, algorithms, models and theory for a given application.| Carry out complex, collaborative machine learning projects as part of a team.","CSSE7030, MATH7501, STAT7203",Master of Data Science,MDataSc
Machine Learning,COMP7703,Machine learning is a branch of artificial intelligence concerned with the development & application of adaptive algorithms that use example data or previous experience to solve a given problem. Topics include: ,"Describe the core theoretical and conceptual frameworks that are used in Machine Learning.| Explain the properties and functions of a range of different Machine Learning models and to be able to connect a model to appropriate theoretical foundations.| Formulate an algorithm that instantiates a given Machine Learning model using appropriate data.| Implement Machine Learning algorithms in a high-level programming language.| Formulate and execute experiments with implemented Machine Learning techniques on data sets, and to evaluate and reflect on the results.| Explain the relationships between the different types of techniques used in Machine Learning and the relationships between Machine Learning and other disciplines.| Recognize potential real-world applications of Machine Learning and evaluate the suitability of different Machine Learning technique implementations, algorithms, models and theory for a given application.","CSSE7030, MATH7501, STAT7203",Master of Data Science,MDataSc
Data Science Capstone Project 1,DATA7901,"The capstone project will focus on tackling a data science problem sourced from science, government or industry. Capstone projects can be research oriented or development oriented.","Formulate a data science problem within a given application context by expressing your ideas clearly and by using words and sentence structures efficiently.| Synthesise information from a variety of sources (e.g., academic, business, scientific) and modalities (verbal, visual) to form a communication plan.| Make a convincing argument by structuring your ideas coherently and persuasively, and use visual aids and digital technology effectively to engage the audience.| Communicate with colleagues and customers in an effective way and speak confidently and persuasively to an audience.| Design technically feasible data science solutions with consideration of ethical and legal aspects, and identify appropriate data science technique (techniques) to a practical problem.| Provide a detailed project proposal, which is suitable both for professionals and the stakeholders.","NA",Master of Data Science,MDataSc
Data Science Capstone Project 2,DATA7902,"(First offered from Semester 1, 2018) The capstone project will focus on tackling a data science problem sourced from science, government or industry. Capstone projects can be research oriented or development oriented.","Implement a data science approach to solving a problem within a given application context.| Synthesise information from a variety of sources (e.g., academic, business, scientific) and modalities (verbal, visual) to form a communication plan.| Make a convincing argument by structuring your ideas coherently and persuasively, and use visual aids and digital technology effectively to engage the audience.| Communicate with diverse audiences in an effective way and speak confidently and persuasively to an audience.| Apply, optimise and evaluate appropriate data science techniques to a practical problem, taking into account ethical and legal aspects.| Provide a comprehensive project report, which is suitable both for technical and business professionals.",DATA7901,Master of Data Science,MDataSc
Data Science Capstone Project 2B,DATA7903,"The capstone project will enable students to bring together their technical, analytic and interpretive skills to execute a project in a specified data science field. This course represents the second part of the capstone project and is focussed on the implementation and conclusion of the project proposed during DATA7901.","Implement a data science approach to solving a specific problem in a given application context.| Apply and evaluate appropriate data science techniques to a practical problem.| Make a convincing argument by structuring your ideas coherently and persuasively, and use visual aids and digital technology effectively to engage the audience.| Communicate with an academic audiences in an effective way and speak confidently and persuasively to an audience.| Provide a technical project report.","DATA7901, DATA7201, DATA7202",Master of Data Science,MDataSc
Introduction to Software Engineering,CSSE7030,"Introduction to Software Engineering through programming with particular focus on the fundamentals of computing & programming, using an exploratory problem-based approach. Building abstractions with procedures, data & objects; data modelling; designing, coding & debugging programs of increasing complexity.","apply program constructs such as variables, selection, iteration and sub-routines,| apply basic object-oriented concepts such as classes, instances and methods,| read and analyse code written by others,| analyse a problem and design an algorithmic solution to the problem,| read and analyse a design and be able to translate the design into a working program,| apply techniques for testing and debugging,| design and implement simple GUIs","NA",Master of Data Science,MDataSc
