"","Topic I","Topic II","Topic III","Topic IV","Topic V","Topic VI","Topic VII","Topic VIII","Topic IX","Topic X"
"1","window","comput","ibm","algorithm","network","bit","format","intel","softwar","languag"
"2","system","system","comput","can","use","instruct","use","chip","compani","program"
"3","version","program","system","number","can","memori","imag","design","appl","use"
"4","releas","use","disk","function","web","use","digit","processor","free","compil"
"5","support","machin","drive","set","data","address","can","bit","use","code"
"6","user","design","use","state","internet","regist","video","core","also","function"
"7","oper_system","process","control","languag","secur","processor","standard","mhz","develop","object"
"8","oper","develop","machin","use","access","oper","disc","use","open","type"
"9","os","inform","card","symbol","protocol","can","data","introduc","sourc","can"
"10","file","softwar","unit","problem","link","data","file","microprocessor","user","implement"
